vehicle_id,vehicle_type,site,is_electrified,battery_capacity_kwh,daily_distance_km,payload_ratio,dwell_hours_available,duty_predictability,avg_depth_of_discharge,avg_operating_temp_c,cycles_to_date,commissioned_days_ago
VEH-1000,Mining Haul Truck,Bhilai Yard,False,220,369.2,0.54,10.3,0.89,0.69,24.2,0,
VEH-1001,Intra-Plant Forklift,Bhilai Yard,False,40,56.6,0.7,5.4,0.88,0.61,27.3,0,
VEH-1002,Freight Truck,Chennai Plant,False,350,505.2,0.77,5.4,0.81,0.62,31.4,0,
VEH-1003,Construction Loader,Bhilai Yard,False,150,87.0,0.6,11.7,0.73,0.62,29.9,0,
VEH-1004,Logistics Van,Pune DC,False,75,197.2,0.75,9.2,0.81,0.67,25.0,0,
VEH-1005,Mining Haul Truck,Chennai Plant,False,220,298.7,0.79,11.4,0.73,0.78,27.1,0,
VEH-1006,Intra-Plant Forklift,Nagpur Hub,False,40,67.0,0.81,9.6,0.65,0.57,27.6,0,
VEH-1007,Freight Truck,Chennai Plant,False,350,485.9,0.73,10.0,0.76,0.72,30.2,0,
VEH-1008,Construction Loader,Pune DC,False,150,66.4,0.65,6.6,0.65,0.63,41.0,0,
VEH-1009,Logistics Van,Bhilai Yard,False,75,211.4,0.45,7.0,0.77,0.55,30.6,0,
VEH-1010,Mining Haul Truck,Odisha Mine Site,False,220,400.0,0.65,6.6,0.88,0.83,24.3,0,
VEH-1011,Intra-Plant Forklift,Chennai Plant,False,40,50.1,0.77,8.4,0.85,0.52,27.8,0,
VEH-1012,Freight Truck,Bhilai Yard,False,350,467.3,0.65,9.4,0.65,0.67,25.1,0,
VEH-1013,Construction Loader,Bhilai Yard,False,150,97.9,0.63,8.0,0.82,0.69,36.0,0,
VEH-1014,Logistics Van,Chennai Plant,False,75,176.8,0.64,7.8,0.5,0.38,20.4,0,
VEH-1015,Mining Haul Truck,Nagpur Hub,True,220,375.2,0.56,6.9,0.94,0.82,36.4,369,448.0
VEH-1016,Intra-Plant Forklift,Pune DC,True,40,49.7,0.65,10.5,0.49,0.58,28.2,471,518.0
VEH-1017,Freight Truck,Nagpur Hub,True,350,380.0,0.73,8.1,0.99,0.68,21.9,703,554.0
VEH-1018,Construction Loader,Nagpur Hub,True,150,112.0,0.83,9.1,0.97,0.55,28.2,372,155.0
VEH-1019,Logistics Van,Pune DC,True,75,200.6,0.67,3.6,0.6,0.53,31.2,1249,1228.0
VEH-1020,Mining Haul Truck,Chennai Plant,True,220,376.1,0.55,1.6,0.79,0.78,29.5,466,766.0
VEH-1021,Intra-Plant Forklift,Odisha Mine Site,True,40,61.7,0.68,4.9,0.5,0.51,26.7,1180,532.0
VEH-1022,Freight Truck,Pune DC,True,350,494.3,0.63,4.4,0.61,0.64,37.6,403,274.0
VEH-1023,Construction Loader,Nagpur Hub,True,150,105.1,0.76,7.5,0.74,0.6,34.7,513,193.0
VEH-1024,Logistics Van,Odisha Mine Site,True,75,138.6,0.73,12.7,0.77,0.49,28.4,1041,397.0
VEH-1025,Mining Haul Truck,Bhilai Yard,True,220,419.7,0.76,12.6,0.78,0.75,23.8,1145,930.0
VEH-1026,Intra-Plant Forklift,Pune DC,True,40,58.1,0.64,12.4,0.58,0.48,30.2,531,459.0
VEH-1027,Freight Truck,Pune DC,True,350,445.5,0.91,8.3,0.85,0.54,26.8,397,195.0
VEH-1028,Construction Loader,Odisha Mine Site,True,150,75.8,0.65,10.7,0.55,0.65,29.1,551,634.0
VEH-1029,Logistics Van,Pune DC,True,75,223.3,0.68,5.9,0.72,0.52,27.9,324,522.0
VEH-1030,Mining Haul Truck,Nagpur Hub,True,220,364.4,1.0,13.6,0.62,0.83,23.2,472,801.0
VEH-1031,Intra-Plant Forklift,Odisha Mine Site,True,40,52.1,0.6,1.6,0.73,0.47,24.4,386,476.0
VEH-1032,Freight Truck,Nagpur Hub,True,350,287.1,0.48,14.4,0.56,0.61,36.2,1521,407.0
VEH-1033,Construction Loader,Odisha Mine Site,True,150,95.5,0.96,5.0,0.71,0.71,34.6,537,466.0
VEH-1034,Logistics Van,Nagpur Hub,True,75,135.5,0.66,7.2,0.78,0.46,29.4,953,587.0
VEH-1035,Mining Haul Truck,Chennai Plant,True,220,353.3,0.7,5.8,0.8,0.84,44.6,1122,596.0
VEH-1036,Intra-Plant Forklift,Nagpur Hub,True,40,51.8,0.53,11.6,0.79,0.59,18.3,928,222.0
VEH-1037,Freight Truck,Nagpur Hub,True,350,384.4,0.74,8.2,0.71,0.69,25.7,695,867.0
VEH-1038,Construction Loader,Bhilai Yard,True,150,48.4,0.66,8.5,0.79,0.62,21.5,748,116.0
VEH-1039,Logistics Van,Chennai Plant,True,75,208.0,0.65,7.8,0.59,0.47,33.5,824,933.0
